Total;13.770.793;13.991.127;14.206.429;14.414.046;14.613.776;14.809.841;15.001.623;15.185.799;15.365.623;15.543.565;15.715.924;15.882.092;16.041.612;16.198.348;16.356.738;16.516.863;16.682.228;16.855.484;17.030.393;17.204.567;17.380.597;17.559.507;17.749.360;17.954.875;18.190.964;18.460.529;18.754.494;19.040.037;19.235.540;19.391.613;19.581.575;19.756.365;19.904.328;20.036.669;20.150.948;20.252.145;20.342.246;20.421.403;20.489.812;20.546.653;20.590.711;20.621.533;20.639.005;20.643.490;20.635.825;20.617.132;20.588.655;20.551.753;20.508.117;20.459.180;20.405.521;20.347.272;20.284.551;20.217.414;20.145.968;20.070.235;19.990.194;19.905.775;19.816.858;19.723.225;19.624.629;19.520.801;19.411.448;19.296.388;19.175.470;19.048.653;18.916.047;18.777.806;18.634.210;18.485.577;18.332.247;18.174.541;18.012.787;17.847.299;17.678.364;17.506.235;17.331.111;17.153.173;16.972.558
69;56.755;58.903;60.864;61.983;66.781;73.204;77.338;80.324;80.019;76.924;75.953;76.669;78.026;79.882;82.161;85.391;90.273;94.799;98.782;103.354;107.235;110.195;112.672;114.001;116.570;124.844;133.467;137.161;140.787;147.532;156.055;161.833;166.466;172.917;181.008;191.214;200.894;208.923;215.056;219.594;224.213;228.066;229.772;230.564;230.876;229.940;228.197;228.856;232.835;239.218;245.598;246.722;242.391;237.664;234.188;234.746;241.653;253.288;264.798;269.926;268.938;267.275;270.003;276.594;287.288;301.253;314.886;322.635;322.353;318.836;315.348;312.519;307.077;301.426;296.814;291.710;285.637;280.114;276.506
70;53.483;55.239;57.356;59.261;60.319;65.058;71.407;75.486;78.512;78.260;75.188;74.319;75.073;76.438;78.290;80.526;83.773;88.633;93.023;96.948;101.482;105.274;108.203;110.702;112.078;114.665;123.011;131.660;135.019;138.314;145.120;153.788;159.615;164.240;170.671;178.705;188.830;198.439;206.427;212.535;217.056;221.655;225.497;227.217;228.034;228.375;227.483;225.793;226.481;230.453;236.805;243.157;244.306;240.052;235.408;231.998;232.584;239.457;251.016;262.453;267.569;266.622;265.007;267.742;274.309;284.944;298.824;312.377;320.097;319.851;316.396;312.967;310.192;304.822;299.243;294.691;289.652;283.650;278.192
71;50.404;51.890;53.673;55.735;57.568;58.642;63.281;69.511;73.596;76.598;76.367;73.390;72.547;73.316;74.699;76.584;78.807;82.061;86.826;91.085;95.054;99.566;103.308;106.208;108.707;110.089;112.700;121.056;129.382;132.497;135.889;142.848;151.507;157.256;161.880;168.271;176.247;186.286;195.825;203.757;209.823;214.324;218.902;222.732;224.470;225.313;225.686;224.842;223.210;223.929;227.894;234.213;240.531;241.705;237.537;232.977;229.639;230.252;237.087;248.564;259.922;265.022;264.119;262.554;265.296;271.835;282.406;296.193;309.660;317.347;317.139;313.748;310.381;307.663;302.369;296.866;292.381;287.412;281.485
72;46.807;48.733;50.236;51.953;53.943;55.809;56.899;61.392;67.554;71.603;74.520;74.365;71.477;70.671;71.530;72.905;74.762;76.995;80.215;84.942;89.095;92.988;97.486;101.222;104.117;106.615;107.986;110.545;118.660;126.698;129.911;133.514;140.445;149.002;154.750;159.359;165.709;173.624;183.576;193.027;200.883;206.905;211.384;215.940;219.759;221.514;222.386;222.794;222.003;220.434;221.184;225.141;231.421;237.702;238.902;234.822;230.353;227.090;227.733;234.526;245.912;257.183;262.266;261.410;259.896;262.645;269.152;279.652;293.338;306.710;314.359;314.190;310.868;307.568;304.909;299.698;294.275;289.859;284.964
73;43.258;45.099;47.026;48.543;50.201;52.180;54.024;55.054;59.451;65.471;69.464;72.375;72.248;69.460;68.790;69.686;71.011;72.910;75.090;78.229;82.928;86.974;90.803;95.310;99.049;101.944;104.462;105.806;108.026;115.781;123.912;127.396;131.066;137.912;146.368;152.075;156.670;162.979;170.831;180.675;190.015;197.791;203.763;208.218;212.751;216.558;218.332;219.236;219.682;218.946;217.444;218.226;222.171;228.410;234.650;235.876;231.890;227.518;224.334;225.006;231.753;243.040;254.216;259.278;258.470;257.011;259.765;266.236;276.658;290.233;303.500;311.108;310.978;307.729;304.500;301.905;296.781;291.445;287.102
74;41.642;41.498;43.320;45.221;46.761;48.411;50.353;52.180;53.206;57.538;63.348;67.238;70.144;70.076;67.441;66.767;67.702;69.094;70.933;73.095;76.189;80.750;84.699;88.511;93.078;96.832;99.682;102.155;103.240;105.061;112.793;121.221;124.795;128.399;135.192;143.545;149.211;153.791;160.057;167.827;177.539;186.759;194.447;200.367;204.798;209.305;213.099;214.894;215.830;216.316;215.640;214.207;215.023;218.953;225.146;231.341;232.594;228.707;224.437;221.337;222.040;228.735;239.914;250.984;256.022;255.265;253.864;256.624;263.054;273.388;286.842;299.994;307.553;307.466;304.294;301.142;298.614;293.583;288.340
75;39.878;39.804;39.684;41.478;43.333;44.951;46.547;48.438;50.304;51.319;55.528;61.121;64.925;67.765;67.723;65.208;64.633;65.681;66.995;68.834;70.975;74.001;78.532;82.385;86.160;90.712;94.478;97.318;99.469;100.190;101.966;109.883;118.414;121.964;125.557;132.270;140.514;146.135;150.699;156.903;164.566;174.136;183.228;190.821;196.684;201.087;205.566;209.345;211.162;212.135;212.663;212.049;210.689;211.538;215.453;221.594;227.738;229.017;225.236;221.076;218.065;218.800;225.438;236.498;247.453;252.463;251.759;250.419;253.183;259.567;269.806;283.124;296.148;303.654;303.612;300.523;297.451;294.995;290.065
76;37.462;37.928;37.924;37.876;39.579;41.425;43.050;44.586;46.491;48.375;49.349;53.406;58.779;62.509;65.375;65.337;62.911;62.451;63.492;64.793;66.608;68.681;71.702;76.154;79.966;83.739;88.256;92.029;94.525;96.281;97.036;99.054;107.024;115.400;118.918;122.498;129.122;137.248;142.823;147.353;153.470;161.017;170.431;179.381;186.871;192.669;197.042;201.490;205.252;207.092;208.101;208.674;208.126;206.845;207.730;211.623;217.705;223.791;225.098;221.431;217.390;214.477;215.244;221.819;232.745;243.572;248.551;247.903;246.630;249.396;255.728;265.859;279.027;291.908;299.354;299.359;296.359;293.375;290.998
77;35.114;35.473;36.008;36.077;36.030;37.723;39.515;41.074;42.608;44.494;46.315;47.257;51.175;56.322;60.051;62.838;62.831;60.584;60.100;61.189;62.476;64.264;66.342;69.339;73.735;77.419;81.208;85.731;89.167;91.316;92.957;93.873;96.006;103.864;112.163;115.662;119.225;125.755;133.757;139.260;143.731;149.753;157.172;166.417;175.214;182.589;188.318;192.655;197.066;200.809;202.672;203.720;204.338;203.859;202.660;203.581;207.450;213.467;219.488;220.822;217.277;213.363;210.552;211.354;217.858;228.636;239.321;244.262;243.675;242.472;245.238;251.512;261.523;274.524;287.248;294.624;294.678;291.775;288.886
78;32.877;33.116;33.532;34.086;34.134;34.133;35.788;37.494;39.049;40.594;42.405;44.156;45.104;48.897;53.852;57.516;60.311;60.402;58.094;57.617;58.791;60.028;61.843;63.955;66.925;71.274;74.890;78.541;82.760;85.853;87.905;89.740;90.750;92.857;100.617;108.730;112.204;115.748;122.177;130.023;135.430;139.836;145.751;153.031;162.091;170.722;177.973;183.623;187.921;192.291;196.009;197.891;198.977;199.642;199.234;198.122;199.079;202.920;208.863;214.810;216.173;212.758;208.978;206.277;207.114;213.536;224.152;234.680;239.578;239.054;237.924;240.689;246.896;256.773;269.589;282.137;289.434;289.541;286.742
79;29.842;30.844;31.083;31.510;32.035;32.182;32.219;33.744;35.436;37.017;38.573;40.347;41.964;42.829;46.526;51.272;54.862;57.685;57.746;55.492;55.076;56.313;57.566;59.325;61.399;64.363;68.699;72.151;75.503;79.396;82.313;84.512;86.463;87.495;89.632;97.202;105.119;108.566;112.086;118.385;126.044;131.343;135.676;141.477;148.605;157.467;165.916;173.031;178.595;182.845;187.168;190.856;192.757;193.880;194.591;194.257;193.234;194.227;198.035;203.894;209.760;211.149;207.870;204.233;201.649;202.520;208.852;219.288;229.641;234.490;234.031;232.979;235.739;241.869;251.599;264.211;276.564;283.772;283.932
80;26.430;27.820;28.733;29.003;29.424;30.041;30.227;30.162;31.712;33.419;34.962;36.472;38.074;39.625;40.603;44.090;48.553;52.187;54.850;54.885;52.806;52.477;53.780;54.988;56.726;58.798;61.717;65.933;69.006;71.976;75.787;78.939;81.228;83.043;84.143;86.283;93.651;101.358;104.772;108.244;114.380;121.835;127.018;131.271;136.946;143.910;152.557;160.808;167.774;173.241;177.437;181.702;185.353;187.268;188.425;189.182;188.921;187.988;189.015;192.782;198.548;204.319;205.731;202.597;199.109;196.644;197.548;203.777;214.014;224.174;228.964;228.571;227.598;230.348;236.391;245.954;258.338;270.474;277.581
81;23.853;24.494;25.797;26.652;26.920;27.381;27.990;28.140;28.158;29.657;31.281;32.801;34.235;35.776;37.305;38.216;41.541;45.803;49.308;51.961;52.056;50.093;49.799;51.118;52.300;54.018;56.137;59.033;62.863;65.450;68.258;72.288;75.548;77.717;79.526;80.662;82.798;89.953;97.440;100.793;104.188;110.150;117.388;122.442;126.605;132.144;138.928;147.343;155.381;162.183;167.541;171.673;175.872;179.477;181.402;182.591;183.390;183.202;182.362;183.420;187.137;192.798;198.463;199.894;196.909;193.577;191.237;192.172;198.286;208.303;218.249;222.969;222.644;221.751;224.485;230.430;239.806;251.937;263.831
82;20.937;21.898;22.579;23.812;24.605;24.858;25.324;25.863;26.095;26.252;27.628;29.170;30.636;31.995;33.490;34.845;35.786;39.100;42.985;46.371;48.978;49.054;47.203;46.940;48.329;49.518;51.226;53.331;55.935;59.352;61.660;64.578;68.747;71.893;74.063;75.873;77.040;79.170;86.100;93.333;96.599;99.909;105.683;112.688;117.603;121.669;127.058;133.650;141.814;149.623;156.246;161.483;165.543;169.668;173.220;175.151;176.368;177.209;177.095;176.350;177.438;181.099;186.642;192.190;193.640;190.810;187.641;185.432;186.397;192.385;202.162;211.873;216.516;216.258;215.449;218.163;223.997;233.170;245.024
83;17.798;18.988;19.916;20.659;21.771;22.553;22.829;23.201;23.776;24.103;24.246;25.505;26.935;28.412;29.765;31.143;32.396;33.355;36.448;40.097;43.415;45.875;45.996;44.336;44.172;45.521;46.622;48.401;50.292;52.487;55.730;58.096;61.045;65.075;68.128;70.275;72.081;73.277;75.395;82.065;89.009;92.179;95.397;100.971;107.728;112.491;116.449;121.677;128.061;135.955;143.516;149.946;155.050;159.027;163.068;166.559;168.491;169.737;170.617;170.577;169.928;171.044;174.641;180.055;185.475;186.940;184.271;181.274;179.201;180.194;186.042;195.558;205.015;209.570;209.381;208.658;211.346;217.057;226.007
84;15.412;16.021;17.151;18.061;18.749;19.791;20.556;20.734;21.136;21.781;22.093;22.257;23.404;24.740;26.219;27.439;28.684;29.999;30.884;33.739;37.154;40.397;42.823;42.969;41.423;41.305;42.677;43.727;45.292;46.883;48.891;52.150;54.548;57.361;61.285;64.249;66.367;68.165;69.387;71.467;77.844;84.481;87.548;90.666;96.025;102.516;107.118;110.957;116.011;122.171;129.775;137.069;143.289;148.248;152.131;156.078;159.499;161.428;162.697;163.614;163.649;163.098;164.239;167.763;173.035;178.312;179.790;177.289;174.470;172.538;173.557;179.251;188.483;197.664;202.121;202.003;201.368;204.024;209.598
85;13.403;13.764;14.363;15.382;16.196;16.852;17.810;18.480;18.703;19.171;19.816;20.140;20.281;21.332;22.589;23.928;25.073;26.318;27.464;28.350;31.098;34.267;37.375;39.630;39.843;38.448;38.342;39.772;40.612;41.827;43.246;45.370;48.727;51.001;53.658;57.413;60.282;62.363;64.147;65.369;67.385;73.452;79.768;82.723;85.731;90.863;97.071;101.499;105.209;110.074;115.994;123.290;130.297;136.292;141.091;144.870;148.712;152.054;153.973;155.260;156.211;156.320;155.867;157.029;160.470;165.586;170.708;172.192;169.867;167.233;165.446;166.487;172.013;180.938;189.817;194.165;194.118;193.572;196.188
86;11.192;11.841;12.187;12.771;13.639;14.352;14.983;15.819;16.498;16.818;17.288;17.897;18.143;18.260;19.267;20.345;21.646;22.829;23.907;24.969;25.796;28.411;31.344;34.268;36.485;36.724;35.398;35.350;36.640;37.217;38.191;39.692;42.025;45.186;47.338;49.893;53.472;56.237;58.274;60.017;61.214;63.159;68.900;74.878;77.713;80.603;85.492;91.402;95.642;99.212;103.875;109.538;116.505;123.207;128.958;133.585;137.247;140.972;144.223;146.126;147.427;148.408;148.587;148.233;149.411;152.759;157.704;162.656;164.143;161.997;159.554;157.916;158.975;164.317;172.910;181.465;185.691;185.712;185.257
87;8.973;9.718;10.338;10.693;11.243;12.048;12.610;13.109;13.938;14.635;14.971;15.428;15.932;16.191;16.393;17.235;18.246;19.547;20.501;21.534;22.552;23.258;25.700;28.409;31.246;33.341;33.569;32.318;32.178;33.274;33.603;34.787;36.468;38.573;41.563;43.630;46.074;49.467;52.121;54.086;55.758;56.924;58.790;64.191;69.816;72.520;75.281;79.914;85.509;89.548;92.966;97.412;102.800;109.418;115.793;121.284;125.722;129.256;132.850;136.000;137.878;139.189;140.194;140.442;140.183;141.374;144.618;149.375;154.142;155.625;153.664;151.417;149.931;151.006;156.147;164.383;172.586;176.676;176.767
88;7.418;7.762;8.407;8.960;9.291;9.751;10.432;10.875;11.385;12.223;12.897;13.276;13.608;13.981;14.330;14.486;15.227;16.239;17.336;18.192;19.192;20.139;20.825;23.033;25.528;28.208;30.171;30.507;29.194;28.796;29.721;30.221;31.641;33.195;35.125;37.928;39.901;42.226;45.425;47.937;49.800;51.396;52.525;54.305;59.351;64.609;67.174;69.796;74.160;79.423;83.247;86.499;90.713;95.810;102.059;108.088;113.300;117.533;120.926;124.376;127.412;129.258;130.570;131.594;131.907;131.742;132.939;136.067;140.622;145.185;146.660;144.886;142.840;141.508;142.592;147.516;155.368;163.194;167.136
89;6.147;6.345;6.649;7.223;7.696;7.971;8.316;8.879;9.316;9.797;10.595;11.206;11.481;11.800;12.215;12.543;12.678;13.337;14.165;15.264;16.085;16.908;17.805;18.493;20.534;22.685;25.238;27.187;27.309;25.780;25.288;26.462;27.130;28.423;29.897;31.715;34.324;36.196;38.396;41.372;43.712;45.467;46.979;48.066;49.753;54.434;59.311;61.727;64.204;68.285;73.201;76.799;79.876;83.843;88.633;94.495;100.160;105.076;109.090;112.329;115.622;118.532;120.335;121.640;122.677;123.049;122.974;124.170;127.170;131.506;135.852;137.309;135.724;133.879;132.702;133.790;138.480;145.923;153.347
90;4.725;5.094;5.294;5.627;6.132;6.503;6.683;6.947;7.485;7.944;8.425;9.093;9.588;9.852;10.197;10.508;10.747;10.974;11.515;12.195;13.225;13.974;14.767;15.584;16.186;17.993;19.890;22.388;24.150;24.026;22.263;22.015;23.576;24.136;25.292;26.678;28.377;30.789;32.552;34.598;37.327;39.491;41.133;42.554;43.591;45.177;49.485;53.975;56.235;58.554;62.344;66.902;70.262;73.151;76.862;81.331;86.789;92.075;96.679;100.461;103.532;106.655;109.425;111.176;112.466;113.505;113.930;113.940;115.125;117.985;122.087;126.200;127.630;126.232;124.590;123.566;124.650;129.090;136.101
91;3.750;3.906;4.208;4.398;4.676;5.095;5.355;5.482;5.736;6.261;6.743;7.161;7.650;8.082;8.405;8.660;8.924;9.206;9.354;9.799;10.357;11.297;12.023;12.753;13.481;13.957;15.624;17.342;19.576;20.976;20.626;19.159;19.164;20.670;21.194;22.275;23.566;25.140;27.352;28.982;30.852;33.332;35.315;36.836;38.161;39.142;40.622;44.550;48.646;50.743;52.899;56.387;60.578;63.691;66.383;69.825;73.962;79.005;83.897;88.176;91.711;94.602;97.542;100.163;101.849;103.113;104.147;104.615;104.703;105.869;108.577;112.430;116.295;117.690;116.475;115.033;114.157;115.229;119.403
92;2.782;3.032;3.181;3.438;3.622;3.818;4.120;4.320;4.449;4.698;5.173;5.613;5.946;6.328;6.744;7.001;7.224;7.487;7.677;7.817;8.239;8.705;9.536;10.200;10.840;11.424;11.850;13.383;14.815;16.702;17.706;17.559;16.517;16.454;17.879;18.393;19.393;20.584;22.030;24.024;25.500;27.190;29.420;31.220;32.614;33.838;34.759;36.125;39.671;43.372;45.299;47.284;50.465;54.281;57.139;59.625;62.789;66.585;71.201;75.688;79.631;82.908;85.606;88.351;90.809;92.421;93.649;94.667;95.170;95.327;96.465;99.008;102.599;106.202;107.551;106.515;105.268;104.536;105.588
93;1.928;2.236;2.456;2.588;2.774;2.927;3.040;3.249;3.423;3.567;3.823;4.253;4.582;4.835;5.149;5.469;5.731;5.989;6.152;6.300;6.439;6.760;7.136;7.896;8.503;9.037;9.549;9.941;11.234;12.286;13.838;14.843;14.901;14.070;13.992;15.256;15.752;16.667;17.755;19.055;20.815;22.136;23.647;25.629;27.243;28.507;29.625;30.478;31.727;34.892;38.198;39.950;41.758;44.627;48.066;50.663;52.936;55.815;59.262;63.444;67.519;71.116;74.123;76.619;79.158;81.442;82.969;84.150;85.141;85.671;85.887;86.986;89.354;92.670;96.001;97.293;96.427;95.370;94.775
94;1.374;1.501;1.766;1.944;2.057;2.193;2.284;2.334;2.508;2.674;2.828;3.060;3.380;3.662;3.891;4.111;4.374;4.649;4.798;4.909;5.102;5.248;5.511;5.804;6.505;6.993;7.449;7.889;8.172;9.222;9.816;11.333;12.584;12.503;11.737;11.721;12.827;13.298;14.125;15.092;16.232;17.766;18.932;20.265;22.003;23.431;24.562;25.570;26.353;27.479;30.269;33.184;34.758;36.387;38.945;42.007;44.340;46.394;48.984;52.078;55.823;59.482;62.728;65.459;67.742;70.066;72.166;73.599;74.722;75.676;76.220;76.485;77.536;79.719;82.751;85.797;87.024;86.319;85.441
95;1.003;1.058;1.180;1.396;1.517;1.558;1.649;1.726;1.754;1.923;2.067;2.203;2.372;2.622;2.885;3.031;3.225;3.520;3.688;3.769;3.881;4.053;4.177;4.379;4.623;5.242;5.648;6.046;6.352;6.498;7.212;7.711;9.421;10.473;10.197;9.630;9.662;10.617;11.055;11.781;12.618;13.602;14.918;15.933;17.092;18.594;19.840;20.841;21.737;22.443;23.447;25.872;28.408;29.804;31.252;33.502;36.193;38.261;40.095;42.397;45.139;48.452;51.696;54.588;57.039;59.104;61.207;63.116;64.442;65.498;66.405;66.952;67.253;68.245;70.236;72.978;75.733;76.883;76.328
96;719;749;802;913;1.094;1.152;1.163;1.226;1.279;1.333;1.476;1.581;1.696;1.822;2.009;2.206;2.335;2.500;2.708;2.872;2.942;3.012;3.184;3.257;3.402;3.570;4.117;4.507;4.848;4.998;4.915;5.553;6.096;7.474;8.327;8.172;7.771;7.835;8.647;9.036;9.652;10.365;11.201;12.314;13.184;14.175;15.452;16.524;17.395;18.181;18.809;19.691;21.767;23.939;25.161;26.429;28.381;30.712;32.520;34.135;36.153;38.550;41.441;44.279;46.822;48.994;50.836;52.714;54.428;55.640;56.619;57.468;58.006;58.332;59.256;61.047;63.495;65.957;67.022
97;489;534;562;617;700;835;857;831;869;931;984;1.108;1.190;1.280;1.399;1.527;1.670;1.781;1.887;2.058;2.189;2.232;2.275;2.412;2.486;2.572;2.699;3.192;3.492;3.724;3.694;3.636;4.389;4.818;5.810;6.497;6.432;6.162;6.246;6.918;7.248;7.762;8.359;9.058;9.981;10.713;11.548;12.617;13.524;14.270;14.946;15.496;16.258;18.008;19.839;20.890;21.985;23.651;25.640;27.198;28.599;30.341;32.407;34.893;37.339;39.543;41.439;43.061;44.714;46.230;47.322;48.214;48.996;49.514;49.851;50.698;52.290;54.446;56.615
98;310;354;396;420;456;516;614;602;554;612;682;718;798;862;947;1.016;1.124;1.269;1.309;1.373;1.535;1.628;1.645;1.702;1.822;1.850;1.889;1.988;2.434;2.662;2.741;2.671;2.746;3.373;3.651;4.423;4.966;4.964;4.793;4.880;5.417;5.693;6.113;6.603;7.176;7.927;8.533;9.223;10.100;10.853;11.481;12.053;12.524;13.172;14.619;16.135;17.025;17.954;19.352;21.020;22.340;23.535;25.015;26.766;28.868;30.941;32.822;34.450;35.855;37.287;38.608;39.576;40.377;41.085;41.573;41.908;42.672;44.064;45.935
99;209;216;254;288;306;326;357;423;408;378;445;494;502;563;622;667;727;834;910;942;1.010;1.114;1.176;1.220;1.279;1.337;1.346;1.377;1.415;1.768;1.852;1.924;1.940;1.959;2.471;2.702;3.291;3.711;3.748;3.647;3.723;4.144;4.369;4.705;5.099;5.559;6.157;6.649;7.207;7.912;8.524;9.041;9.517;9.913;10.452;11.627;12.858;13.597;14.369;15.521;16.894;17.992;18.992;20.226;21.683;23.430;25.156;26.732;28.107;29.302;30.522;31.653;32.495;33.201;33.830;34.279;34.602;35.279;36.477
100+;376;398;429;482;553;591;591;594;634;679;715;779;859;929;1.022;1.105;1.208;1.343;1.504;1.697;1.852;1.963;2.129;2.327;2.508;2.660;2.827;2.969;3.079;3.057;3.118;3.325;3.873;4.313;4.498;5.016;5.577;6.426;7.366;8.101;8.588;9.023;9.674;10.339;11.100;11.975;12.988;14.207;15.506;16.915;18.522;20.209;21.893;23.543;25.117;26.741;28.887;31.469;34.017;36.566;39.412;42.653;45.992;49.337;52.872;56.725;61.046;65.714;70.541;75.340;79.989;84.548;88.974;93.080;96.841;100.280;103.336;106.001;108.642
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total;6.782.524;6.892.733;6.999.953;7.102.818;7.201.658;7.298.859;7.393.860;7.485.035;7.574.282;7.662.021;7.746.283;7.827.571;7.905.478;7.982.296;8.060.206;8.138.743;8.219.721;8.304.298;8.389.547;8.474.800;8.561.199;8.648.676;8.741.838;8.843.747;8.962.411;9.098.711;9.245.153;9.384.427;9.478.239;9.552.060;9.642.348;9.726.085;9.796.678;9.859.180;9.912.927;9.960.291;10.002.262;10.038.877;10.070.227;10.095.942;10.115.481;10.128.606;10.135.263;10.135.615;10.130.069;10.119.180;10.103.555;10.083.871;10.060.974;10.035.578;10.007.985;9.978.268;9.946.489;9.912.687;9.876.917;9.839.203;9.799.537;9.757.896;9.714.211;9.668.355;9.620.213;9.569.633;9.516.456;9.460.566;9.401.874;9.340.329;9.275.969;9.208.866;9.139.120;9.066.872;8.992.267;8.915.447;8.836.553;8.755.729;8.673.089;8.588.752;8.502.814;8.415.359;8.326.470
0;150.195;147.488;145.230;141.777;138.776;136.512;133.638;130.440;128.372;126.818;123.740;120.900;118.420;117.593;118.161;120.162;123.711;126.573;127.503;126.527;124.732;123.178;125.246;126.000;121.153;115.002;112.868;110.728;103.847;95.510;93.866;92.892;84.107;76.038;71.221;68.595;66.998;65.489;64.071;62.739;61.480;60.292;59.191;58.264;57.590;57.156;56.862;56.610;56.400;56.232;56.111;56.037;56.007;56.007;56.020;56.025;55.991;55.874;55.631;55216;54601;53769;52718;51462;50050;48541;46991;45444;43945;42529;41216;40020;38952;38015;37208;36519;35939;35451;35044
1;152.691;149.778;147.121;144.904;141.481;138.541;136.305;133.427;130.274;128.211;126.637;123.567;120.721;118.240;117.437;118.020;120.036;123.587;126.454;127.391;126.445;124.706;123.197;125.378;126.448;121.984;116.066;113.917;111.364;104.531;96.525;94.633;93.525;84.791;76.663;71.798;69.124;67.475;65.918;64.456;63.076;61.763;60.520;59.365;58.386;57.665;57.191;56.868;56.598;56.380;56.209;56.086;56.009;55.976;55.974;55.985;55.988;55.952;55.833;55589;55173;54557;53725;52673;51417;50005;48496;46947;45400;43902;42486;41174;39978;38911;37974;37167;36479;35899;35411
2;153.753;152.575;149.680;147.029;144.827;141.439;138.510;136.266;133.388;130.228;128.171;126.600;123.522;120.682;118.204;117.402;117.987;120.007;123.567;126.442;127.409;126.499;124.801;123.413;125.929;127.394;123.187;117.269;114.678;112.183;105.723;97.489;95.450;94.374;85.577;77.387;72.462;69.723;68.014;66.407;64.890;63.450;62.076;60.771;59.558;58.527;57.761;57.253;56.910;56.632;56.410;56.235;56.108;56.027;55.992;55.986;55.995;55.996;55.957;55836;55591;55174;54557;53723;52671;51415;50002;48493;46944;45397;43899;42483;41172;39976;38909;37972;37165;36478;35898
3;150.531;153.691;152.533;149.637;146.994;144.802;141.414;138.479;136.235;133.364;130.212;128.166;126.606;123.525;120.674;118.194;117.393;117.976;120.008;123.583;126.484;127.490;126.620;125.038;123.986;126.904;128.644;124.459;118.092;115.548;113.440;106.755;98.379;96.374;95.231;86.367;78.110;73.114;70.311;68.550;66.886;65.307;63.803;62.365;61.001;59.733;58.655;57.855;57.326;56.974;56.692;56.466;56.287;56.156;56.073;56.035;56.027;56.033;56.031;55990;55867;55621;55202;54584;53750;52697;51440;50028;48519;46970;45423;43925;42510;41199;40003;38936;37999;37192;36505
4;144.149;150.520;153.678;152.514;149.625;146.997;144.807;141.412;138.471;136.231;133.374;130.229;128.179;126.615;123.532;120.678;118.194;117.395;117.991;120.039;123.637;126.565;127.610;126.860;125.612;124.963;128.161;129.927;125.289;118.966;116.820;114.507;107.684;99.335;97.259;96.045;87.113;78.783;73.722;70.867;69.049;67.323;65.680;64.113;62.615;61.195;59.882;58.769;57.947;57.410;57.054;56.767;56.537;56.355;56.222;56.136;56.095;56.083;56.087;56083;56040;55916;55669;55249;54630;53795;52742;51484;50072;48564;47015;45468;43970;42555;41244;40049;38982;38045;37238
5;137.641;144.150;150.506;153.657;152.500;149.624;147.005;144.811;141.410;138.476;136.240;133.381;130.242;128.196;126.622;123.538;120.690;118.208;117.422;118.026;120.095;123.730;126.693;127.849;127.423;126.570;126.201;129.432;130.754;126.158;120.227;117.881;115.437;108.639;100.218;98.072;96.789;87.784;79.391;74.278;71.366;69.488;67.699;65.994;64.367;62.815;61.350;60.002;58.869;58.039;57.497;57.137;56.847;56.614;56.429;56.292;56.203;56.160;56.146;56148;56142;56097;55971;55723;55303;54683;53848;52795;51537;50125;48617;47068;45522;44024;42609;41298;40103;39036;38099
6;132.968;137.641;144.139;150.500;153.654;152.499;149.632;147.015;144.822;141.428;138.494;136.258;133.399;130.255;128.210;126.633;123.542;120.698;118.228;117.453;118.079;120.175;123.844;126.916;128.384;128.346;127.772;127.439;130.241;131.616;127.407;121.278;118.806;116.385;109.515;101.023;98.808;97.450;88.381;79.938;74.770;71.798;69.858;68.009;66.245;64.566;62.969;61.470;60.102;58.960;58.126;57.581;57.217;56.923;56.687;56.499;56.360;56.268;56.223;56207;56207;56200;56154;56027;55778;55357;54736;53901;52848;51590;50179;48671;47122;45576;44078;42663;41352;40157;39090
7;130.633;132.977;137.637;144.140;150.504;153.659;152.513;149.645;147.025;144.831;141.445;138.517;136.273;133.413;130.268;128.223;126.640;123.546;120.718;118.262;117.510;118.161;120.281;124.052;127.433;129.275;129.515;128.988;128.236;131.087;132.846;128.446;122.195;119.747;117.252;110.311;101.749;99.458;98.036;88.917;80.421;75.195;72.162;70.161;68.255;66.439;64.716;63.085;61.567;60.191;59.045;58.207;57.659;57.291;56.994;56.755;56.564;56.423;56.329;56282;56265;56263;56254;56207;56079;55829;55408;54787;53952;52898;51641;50230;48722;47173;45627;44129;42714;41404;40209
8;130.517;130.637;132.986;137.642;144.145;150.514;153.675;152.530;149.657;147.039;144.850;141.468;138.534;136.288;133.428;130.279;128.222;126.641;123.561;120.743;118.311;117.582;118.265;120.484;124.549;128.297;130.417;130.704;129.771;129.077;132.309;133.879;129.357;123.128;120.606;118.039;111.029;102.392;100.036;98.565;89.393;80.839;75.553;72.461;70.403;68.446;66.587;64.830;63.181;61.654;60.274;59.125;58.283;57.731;57.361;57.061;56.819;56.626;56.483;56387;56338;56319;56316;56307;56259;56130;55879;55457;54836;54001;52948;51691;50280;48772;47223;45677;44179;42764;41455
