Total;13.770.793;13.991.127;14.206.429;14.414.046;14.613.776;14.809.841;15.001.623;15.185.799;15.365.623;15.543.565;15.715.924;15.882.092;16.041.612;16.198.348;16.356.738;16.516.863;16.682.228;16.855.484;17.030.393;17.204.567;17.380.597;17.559.507;17.749.360;17.954.875;18.190.964;18.460.529;18.754.494;19.040.037;19.235.540;19.391.613;19.581.575;19.756.365;19.904.328;20.036.669;20.150.948;20.252.145;20.342.246;20.421.403;20.489.812;20.546.653;20.590.711;20.621.533;20.639.005;20.643.490;20.635.825;20.617.132;20.588.655;20.551.753;20.508.117;20.459.180;20.405.521;20.347.272;20.284.551;20.217.414;20.145.968;20.070.235;19.990.194;19.905.775;19.816.858;19.723.225;19.624.629;19.520.801;19.411.448;19.296.388;19.175.470;19.048.653;18.916.047;18.777.806;18.634.210;18.485.577;18.332.247;18.174.541;18.012.787;17.847.299;17.678.364;17.506.235;17.331.111;17.153.173;16.972.558
7;256.746;261.285;270.355;283.016;295.425;301.437;298.823;293.038;287.762;283.670;277.227;270.981;266.097;261.005;255.262;250.523;248.030;242.764;236.668;232.031;230.162;231.201;235.953;243.435;250.258;254.103;254.125;253.078;252.061;257.256;260.680;252.565;240.355;235.261;230.127;215.961;199.229;195.722;192.907;174.912;158.335;147.694;141.711;137.756;133.991;130.405;126.999;123.785;120.797;118.090;115.836;114.191;113.114;112.391;111.809;111.341;110.967;110.689;110.505;110.412;110.378;110.376;110.360;110.268;110.017;109.524;108.695;107.477;105.836;103.766;101.298;98.527;95.566;92.525;89.489;86.549;83.771;81.198;78.851
8;256.602;256.777;261.318;270.380;283.042;295.465;301.491;298.873;293.077;287.804;283.726;277.296;271.045;266.159;261.069;255.318;250.562;248.080;242.847;236.774;232.187;230.373;231.474;236.405;244.430;251.947;256.366;256.533;254.673;253.719;259.651;262.714;254.361;242.196;236.956;231.678;217.375;200.504;196.868;193.947;175.844;159.151;148.392;142.291;138.223;134.358;130.688;127.218;123.967;120.962;118.247;115.987;114.335;113.252;112.524;111.936;111.462;111.084;110.802;110.614;110.517;110.480;110.476;110.458;110.364;110.113;109.618;108.788;107.570;105.929;103.860;101.392;98.621;95.660;92.619;89.584;86.644;83.866;81.294
9;261.558;256.618;256.788;261.335;270.400;283.076;295.519;301.538;298.909;293.119;287.858;283.789;277.355;271.098;266.217;261.119;255.362;250.622;248.162;242.946;236.910;232.385;230.637;231.915;237.377;246.075;254.150;258.721;258.102;256.308;256.078;261.654;264.484;256.178;243.867;238.485;233.071;218.627;201.630;197.890;194.863;176.646;159.837;148.961;142.751;138.585;134.636;130.903;127.396;124.130;121.117;118.395;116.129;114.472;113.382;112.648;112.056;111.577;111.195;110.909;110.718;110.619;110.579;110.573;110.553;110.457;110.206;109.711;108.882;107.663;106.022;103.953;101.485;98.714;95.753;92.712;89.677;86.738;83.961
10;265.713;261.580;256.638;256.807;261.348;270.422;283.121;295.561;301.570;298.953;293.170;287.909;283.839;277.402;271.139;266.255;261.159;255.413;250.692;248.250;243.075;237.093;232.624;231.056;232.853;238.974;248.229;256.459;260.265;259.718;258.639;258.066;263.415;266.286;257.832;245.380;239.860;234.306;219.737;202.637;198.793;195.652;177.322;160.398;149.416;143.108;138.860;134.849;131.080;127.559;124.285;121.265;118.536;116.264;114.602;113.508;112.769;112.172;111.689;111.303;111.014;110.819;110.717;110.676;110.668;110.647;110.551;110.298;109.804;108.975;107.756;106.115;104.046;101.578;98.807;95.846;92.805;89.771;86.833
11;262.598;265.727;261.589;256.655;256.826;261.372;270.462;283.162;295.589;301.607;298.996;293.219;287.954;283.880;277.442;271.175;266.292;261.203;255.483;250.776;248.373;243.263;237.334;233.032;231.963;234.400;241.063;250.474;257.959;261.833;261.986;260.570;259.778;265.167;267.894;259.301;246.715;241.058;235.381;220.713;203.514;199.559;196.305;177.864;160.836;149.760;143.372;139.064;135.018;131.235;127.706;124.425;121.400;118.663;116.386;114.719;113.622;112.879;112.278;111.792;111.402;111.109;110.914;110.810;110.766;110.757;110.735;110.638;110.386;109.892;109.063;107.845;106.204;104.135;101.667;98.896;95.935;92.894;89.860
12;252.317;262.594;265.720;261.600;256.676;256.848;261.411;270.501;283.187;295.615;301.636;299.026;293.253;287.990;283.913;277.470;271.195;266.326;261.266;255.567;250.895;248.537;243.486;237.721;233.909;233.474;236.437;243.254;251.936;259.484;264.046;263.873;262.241;261.485;266.732;269.323;260.600;247.880;242.103;236.328;221.562;204.256;200.191;196.828;178.286;161.167;150.013;143.567;139.225;135.164;131.373;127.839;124.553;121.521;118.780;116.498;114.826;113.725;112.979;112.374;111.884;111.493;111.198;111.000;110.894;110.849;110.839;110.817;110.720;110.468;109.974;109.145;107.928;106.287;104.219;101.751;98.980;96.019;92.978
13;241.867;252.325;262.595;265.708;261.593;256.689;256.881;261.439;270.517;283.200;295.635;301.657;299.047;293.277;288.017;283.944;277.488;271.221;266.378;261.328;255.671;251.057;248.756;243.869;238.582;235.391;235.473;238.576;244.683;253.431;261.641;265.880;265.492;263.897;263.013;268.126;270.586;261.732;248.896;243.022;237.149;222.279;204.868;200.695;197.231;178.601;161.408;150.197;143.716;139.361;135.294;131.497;127.957;124.665;121.629;118.883;116.597;114.921;113.816;113.066;112.458;111.967;111.573;111.277;111.078;110.971;110.924;110.914;110.892;110.795;110.543;110.049;109.221;108.004;106.363;104.295;101.828;99.057;96.096
14;236.348;241.862;252.312;262.578;265.680;261.584;256.703;256.888;261.441;270.520;283.198;295.630;301.648;299.041;293.274;288.021;283.939;277.484;271.251;266.428;261.418;255.817;251.260;249.109;244.683;239.999;237.302;237.519;239.932;246.102;255.487;263.379;267.416;267.067;265.341;264.328;269.317;271.651;262.685;249.757;243.790;237.817;222.844;205.333;201.063;197.511;178.810;161.564;150.323;143.829;139.467;135.396;131.593;128.048;124.751;121.711;118.961;116.671;114.992;113.884;113.131;112.521;112.028;111.633;111.334;111.134;111.027;110.979;110.969;110.947;110.850;110.599;110.105;109.277;108.061;106.420;104.352;101.885;99.114
15;238.029;236.318;241.825;252.258;262.517;265.645;261.574;256.689;256.872;261.424;270.486;283.173;295.606;301.627;299.019;293.238;287.987;283.913;277.485;271.272;266.488;261.529;255.984;251.589;249.896;246.055;241.849;239.281;238.834;241.313;248.105;257.163;264.834;268.915;268.441;266.591;265.458;270.324;272.549;263.494;250.477;244.411;238.336;223.266;205.661;201.307;197.683;178.931;161.657;150.404;143.904;139.537;135.461;131.654;128.104;124.803;121.760;119.006;116.713;115.032;113.921;113.167;112.554;112.059;111.662;111.363;111.163;111.055;111.007;110.997;110.975;110.879;110.628;110.134;109.306;108.090;106.450;104.382;101.916
16;244.528;237.958;236.241;241.742;252.187;262.473;265.617;261.545;256.662;256.847;261.397;270.469;283.154;295.572;301.588;298.978;293.183;287.944;283.899;277.499;271.342;266.623;261.739;256.373;252.496;251.449;248.113;244.005;240.681;240.297;243.422;249.852;258.674;266.387;270.349;269.749;267.777;266.521;271.273;273.400;264.248;251.126;244.951;238.769;223.600;205.906;201.476;197.794;179.011;161.726;150.467;143.963;139.590;135.510;131.698;128.145;124.839;121.791;119.036;116.740;115.055;113.943;113.187;112.572;112.076;111.678;111.378;111.179;111.069;111.021;111.011;110.989;110.895;110.644;110.150;109.322;108.106;106.467;104.399
